,UCLA Status,Custom field (UID Number),Mifi,CLICC ChromeBook,CLICC HP Laptop,CLICC MacBook,ITS MacBook,ITS Touchscreen Laptop,ITS Windows Laptop,ITS iPad
200,Graduate,305440101,1,0,0,0,0,0,0,0
201,Graduate,305442949,1,0,0,0,0,0,0,0
202,Graduate,305447621,1,0,0,0,0,0,0,0
203,Graduate,305478047,1,0,0,0,0,0,0,0
204,Graduate,305478354,1,0,0,0,0,0,0,0
205,Graduate,305523078,0,0,0,0,0,0,0,1
206,Graduate,305524332,1,0,0,0,0,0,0,0
207,Graduate,305527509,0,0,0,0,0,0,1,0
208,Graduate,305634953,1,0,0,1,0,0,0,0
209,Graduate,305639205,1,0,0,0,0,0,0,0
210,Graduate,305645763,0,1,0,0,0,0,0,0
211,Graduate,403995249,1,0,0,0,0,0,0,0
212,Graduate,404054841,1,0,0,0,0,0,0,0
213,Graduate,404196195,0,0,0,0,0,0,1,0
214,Graduate,404251771,1,0,0,0,0,0,0,0
215,Graduate,404443780,0,0,0,0,0,0,1,0
216,Graduate,404574139,1,0,0,0,0,0,0,0
217,Graduate,404590484,0,0,0,0,0,0,0,1
218,Graduate,404603330,0,0,0,0,0,0,1,0
219,Graduate,404734487,0,0,0,0,0,0,0,1
220,Graduate,404776910,1,0,0,0,0,0,1,0
221,Graduate,404856290,0,0,0,0,1,0,0,0
222,Graduate,405025098,0,0,0,0,0,0,1,0
223,Graduate,405037647,0,0,0,0,0,1,0,0
224,Graduate,405040334,1,0,0,0,0,0,0,0
225,Graduate,405080551,0,0,0,0,0,0,1,0
226,Graduate,405220641,1,0,0,0,0,0,0,0
227,Graduate,405227275,0,0,0,0,0,0,0,1
228,Graduate,405235063,0,0,0,0,0,0,0,1
229,Graduate,405301784,1,0,0,0,0,0,0,0
230,Graduate,405315111,0,0,0,0,0,0,1,0
231,Graduate,405348729,0,1,0,0,0,0,0,0
232,Graduate,405349106,1,0,0,0,0,0,0,0
233,Graduate,405351420,0,0,0,0,0,0,0,1
234,Graduate,405351585,0,0,0,1,0,0,0,0
235,Graduate,405352491,0,1,0,0,0,0,0,0
236,Graduate,405353235,1,0,0,0,1,0,0,0
237,Graduate,405353669,1,0,0,0,0,0,1,0
238,Graduate,405430823,1,0,0,0,0,0,0,0
239,Graduate,405431158,1,0,0,0,1,0,0,0
240,Graduate,405431568,0,0,0,1,0,0,0,0
241,Graduate,405439791,0,0,0,0,0,0,1,0
242,Graduate,405442623,1,0,0,0,0,0,0,0
243,Graduate,405448781,0,0,0,0,0,0,1,0
244,Graduate,405478042,1,0,0,0,0,0,0,0
245,Graduate,405498931,0,0,0,0,1,0,0,0
246,Graduate,405508746,0,0,0,1,0,0,0,0
247,Graduate,405515431,0,0,0,0,0,0,0,1
248,Graduate,405523129,1,0,0,0,0,0,0,1
249,Graduate,405524789,1,0,0,0,0,0,0,1
250,Graduate,405527090,1,0,0,0,0,0,0,0
251,Graduate,405527146,1,0,0,0,0,0,0,0
252,Graduate,405527311,0,0,0,0,0,0,1,0
253,Graduate,405529273,0,1,0,0,0,0,0,0
254,Graduate,405529904,1,0,0,0,0,0,1,0
255,Graduate,405529980,1,0,0,0,0,0,0,0
256,Graduate,405656591,1,0,0,0,0,0,0,0
257,Graduate,503700968,1,0,0,0,0,0,0,0
258,Graduate,503771772,1,0,0,0,0,0,0,0
259,Graduate,504267352,1,0,0,0,0,0,0,0
260,Graduate,504269916,0,0,0,1,0,0,0,0
261,Graduate,504331287,1,0,0,0,0,0,0,0
262,Graduate,504398777,1,1,0,0,0,0,0,0
263,Graduate,504476510,0,0,0,0,0,0,0,1
264,Graduate,5044944994,0,0,0,0,0,0,0,1
265,Graduate,504559464,1,0,0,0,0,0,0,0
266,Graduate,504586976,0,0,0,0,0,1,0,0
267,Graduate,504616836,1,0,0,0,0,0,0,0
268,Graduate,504751631,0,0,0,0,0,1,0,0
269,Graduate,504753102,0,0,0,0,0,0,1,0
270,Graduate,504759217,0,0,0,0,0,0,1,0
271,Graduate,504910729,0,0,0,0,0,1,0,0
272,Graduate,504944994,1,0,0,0,0,0,0,1
273,Graduate,504946196,0,0,0,0,0,0,1,0
274,Graduate,504954737,1,0,0,0,0,0,0,0
275,Graduate,505024003,0,0,0,0,0,1,0,0
276,Graduate,505026974,0,0,0,0,1,0,0,0
277,Graduate,505070924,1,0,0,0,0,0,0,0
278,Graduate,505076902,1,0,0,0,0,0,0,0
279,Graduate,505082837,0,0,0,0,1,0,0,0
280,Graduate,505119082,1,0,0,0,0,0,0,0
281,Graduate,505218464,0,0,0,0,0,0,0,1
282,Graduate,505221739,1,0,0,0,0,0,0,1
283,Graduate,505239522,1,0,0,0,0,0,0,0
284,Graduate,505266902,1,0,0,0,0,0,1,0
285,Graduate,505273629,0,0,1,0,0,0,0,0
286,Graduate,505278655,0,0,0,0,1,0,0,0
287,Graduate,505279259,0,1,0,0,0,0,0,0
288,Graduate,505322804,0,0,0,0,0,0,1,0
289,Graduate,505427274,0,0,0,0,0,0,0,1
290,Graduate,505437857,1,0,0,0,0,0,0,0
291,Graduate,505444438,1,0,0,0,0,0,1,0
292,Graduate,505448337,0,0,0,0,1,0,0,0
293,Graduate,505478796,1,0,0,0,0,0,0,0
294,Graduate,505524736,1,0,0,0,0,0,0,1
295,Graduate,505524851,0,0,0,0,0,0,0,1
296,Graduate,505628456,0,0,0,0,0,0,0,1
297,Graduate,505634985,1,0,0,0,0,0,0,0
298,Graduate,603829862,1,1,0,0,0,0,0,0
299,Graduate,604-559-915,1,0,0,0,0,0,0,0
300,Graduate,604021029,0,1,0,0,0,0,0,0
301,Graduate,604106617,0,0,0,0,1,0,0,0
302,Graduate,604160299,0,0,1,0,0,0,0,0
